,index,x,y,cluster
0,ADNP2:P1P2,-32.184017,90.50523,24
1,AFF4:P1P2,-39.613102,62.932697,0
2,AHCY:P1P2,-44.379543,67.49605,0
3,AHDC1:P1P2,9.748949,27.415348,2
4,AR:P1P2,21.311716,-67.07917,2
5,ARID2:P1P2,-65.63794,60.523293,16
6,ARID3A:P1P2,12.608005,-0.6747682,2
7,ARID3B:P1P2,14.747227,0.8276927,25
8,ARID4B:P1P2,27.423447,-79.62075,11
9,ARNT:P1P2,51.434547,27.169758,1
10,ATMIN:P1P2,-98.990555,44.490604,8
11,ATXN7:ENST00000398590.3,22.729294,-25.695122,2
12,ATXN7:ENST00000538065.1,24.23109,-11.690049,25
13,BBX:P1P2,26.131912,25.768583,24
14,BNC1:P1P2,-3.4204059,13.509656,12
15,BOLA3:P1P2,31.04841,7.1380663,25
16,BPTF:P1P2,-83.896065,53.177856,8
17,BRPF1:P1P2,-32.091637,-50.616425,7
18,CAMTA2:P1P2,62.260773,-52.811703,23
19,CDK2:P1P2,27.104446,-53.61288,2
20,CDX1:P1P2,50.421772,19.83737,25
21,CDX2:P1P2,-5.497643,-58.88589,12
22,CDX4:P1P2,29.874964,-58.461132,2
23,CHAMP1:P1P2,-73.38241,82.25844,8
24,CHD7:P1P2,-31.122984,80.963524,0
25,CRAMP1L:P2,31.566404,15.502007,25
26,CREBBP:P1P2,32.383587,-42.345524,2
27,CSNK2A1:P1P2,23.030527,-27.989302,2
28,CTBP1:P1P2,-34.008755,96.41992,24
29,DAXX:P2,20.27891,-68.179855,2
30,DBX2:P1P2,74.64849,5.0005317,25
31,DEK:P1P2,26.419806,13.516253,25
32,DNTTIP1:P1P2,-51.810265,63.550777,0
33,DOT1L:P1P2,2.7778206,-58.479412,21
34,DPF2:P1,-86.67185,74.93462,14
35,ELF4:P1P2,-28.629416,64.82778,24
36,ELMSAN1:P2,5.1331215,-25.712494,23
37,EOMES:P1P2,-103.210106,35.377266,3
38,EP300:P1P2,33.225903,-43.39472,2
39,ETF1:P1P2,67.7357,-6.71854,12
40,ETS1:P1P2,-78.25211,81.29602,24
41,ETV3:P1P2,20.09287,3.340436,25
42,EZH1:P1P2,-30.8925,64.17725,0
43,FOS:P1,-2.6758041,-62.031002,12
44,FOXC1:P1P2,-62.479176,41.238342,24
45,FOXD3:P1,-102.0087,43.528313,16
46,FOXD3:P2,-102.57041,42.041176,16
47,FOXH1:P1P2,24.774637,-80.391464,4
48,FOXI3:P1P2,30.356205,-7.5682797,25
49,FOXP4:P1P2,39.966362,50.802753,25
50,GATA4:P1P2,-104.50995,48.806297,5
51,GATA6:P1P2,-24.226526,-43.0156,11
52,GATAD1:P1P2,-84.57377,40.875923,18
53,GBX1:P1,17.018787,2.1341763,12
54,GBX1:P2,8.026435,25.651066,12
55,GLI3:P1P2,24.939415,23.226126,25
56,GTF2I:P1P2,-58.45933,40.438976,8
57,GTF2IRD2:ENST00000405086.2,82.41826,2.3444107,25
58,HAND1:P1P2,-55.681522,-44.97589,11
59,HAND2:P1,38.52033,-65.15953,2
60,HAND2:P2,-53.346786,-44.678043,11
61,HELT:P1P2,56.93688,-28.119656,12
62,HIF1A:P1P2,52.466156,29.001457,1
63,HMG20A:P1P2,-49.361324,54.95138,16
64,HOXB4:P1P2,10.427552,-77.49339,21
65,ID2:P2,34.71166,-9.860704,2
66,IKZF1:P1P2,3.588321,-23.97654,23
67,IRF4:P1,70.13558,-3.6854181,12
68,IRX2:P1P2,49.373127,-51.079678,25
69,ISL1:P1,-82.26053,68.949104,6
70,JUN:P1P2,56.759216,-30.686426,12
