,cell_count,type,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,distance_mean,pval_mean,pval_mean_log,distance_mean_log
DNAJC19,837,positive control,17.178955078125,0.0,16.1380615234375,0.0,12.4158935546875,0.0,15.8336181640625,0.0,14.2900390625,0.0,14.7513427734375,0.0,14.92333984375,0.0,17.70654296875,0.0,15.6396484375,0.0,13.6895751953125,0.0,18.565185546875,0.0,14.4381103515625,0.0,15.9713134765625,0.0,14.7291259765625,0.0,13.5003662109375,0.0,13.3521728515625,0.0,17.161376953125,0.0,11.83251953125,0.0,18.3642578125,0.0,15.3741455078125,0.0,15.292779541015625,0.0,5.0,1.1844864278333003
OR5K2,560,negative control,6.590576171875,0.012,6.8455810546875,0.012,7.059326171875,0.019,6.3282470703125,0.022,6.7860107421875,0.017,7.2027587890625,0.01,4.9080810546875,0.049,5.7607421875,0.042,7.208251953125,0.01,8.2889404296875,0.004,6.1650390625,0.029,7.244140625,0.007,5.23095703125,0.042,6.2213134765625,0.025,9.17333984375,0.0,6.2454833984375,0.014,5.1220703125,0.041,7.6275634765625,0.005,5.8072509765625,0.029,6.12939453125,0.037,6.59725341796875,0.021300000000000003,1.671416550285798,0.81936316680163
SP8:P1P2,168,targeting,42.7313232421875,0.001,43.43310546875,0.0,45.3363037109375,0.0,44.881591796875,0.0,45.2320556640625,0.0,44.4119873046875,0.0,39.153076171875,0.0,40.606689453125,0.0,44.793701171875,0.0,46.3392333984375,0.0,41.6800537109375,0.0,44.6240234375,0.0,38.2330322265625,0.0,41.78857421875,0.0,50.477294921875,0.0,41.4788818359375,0.0,36.9522705078125,0.0,45.41796875,0.0,39.7030029296875,0.0,38.7015380859375,0.0,42.79878540039063,5e-05,4.221848749616356,1.6314314442142712
FOXN3:P2,397,targeting,3.1038818359375,0.539,2.847900390625,0.625,2.1065673828125,0.884,2.618408203125,0.696,3.0050048828125,0.521,2.5772705078125,0.676,2.354736328125,0.772,2.58544921875,0.707,2.4111328125,0.759,2.3121337890625,0.791,2.9156494140625,0.599,2.85009765625,0.586,2.4866943359375,0.701,2.692138671875,0.611,3.49267578125,0.442,1.9776611328125,0.882,2.4586181640625,0.732,2.3712158203125,0.759,2.8499755859375,0.659,2.6480712890625,0.668,2.63326416015625,0.6804500000000001,0.16719739917461474,0.420494428245331
ZNF85:P1P2,495,targeting,1.99267578125,0.761,2.3480224609375,0.643,2.88623046875,0.43,2.2672119140625,0.633,2.5634765625,0.486,2.180419921875,0.646,1.7974853515625,0.793,2.0030517578125,0.785,2.4298095703125,0.57,2.46337890625,0.561,2.0419921875,0.754,2.4197998046875,0.522,1.45458984375,0.923,2.2340087890625,0.627,3.7811279296875,0.21,2.69775390625,0.441,1.007080078125,0.998,2.9688720703125,0.382,1.93115234375,0.823,1.94677734375,0.769,2.270745849609375,0.63785,0.19527463146602198,0.35616852907273133
GON4L:P2,572,targeting,5.425537109375,0.019,6.1766357421875,0.017,5.945556640625,0.014,5.3704833984375,0.036,6.490234375,0.008,5.548095703125,0.027,4.0413818359375,0.091,4.9190673828125,0.043,5.7420654296875,0.022,6.389892578125,0.015,5.09765625,0.042,5.9935302734375,0.015,3.95361328125,0.111,4.8697509765625,0.045,8.8189697265625,0.001,4.93212890625,0.054,3.388671875,0.183,6.5504150390625,0.008,5.08056640625,0.052,4.444580078125,0.073,5.458941650390625,0.043800000000000006,1.3584267468218245,0.7371084522380359
ZNF600:P1P2,404,targeting,2.7352294921875,0.647,3.15771484375,0.498,2.7237548828125,0.674,2.742431640625,0.594,2.7398681640625,0.614,2.7501220703125,0.584,2.7890625,0.576,2.9482421875,0.577,2.352783203125,0.752,2.7667236328125,0.611,3.5670166015625,0.387,3.115478515625,0.476,3.4727783203125,0.371,2.44970703125,0.699,4.1416015625,0.243,2.2091064453125,0.789,3.1412353515625,0.454,2.79345703125,0.583,3.1795654296875,0.473,3.5054931640625,0.366,2.964068603515625,0.5484,0.26089463465345314,0.4718882511910555
HOPX:P1,420,targeting,10.7254638671875,0.003,11.71875,0.0,13.178955078125,0.0,11.076171875,0.001,12.6712646484375,0.003,11.3055419921875,0.002,9.843994140625,0.004,9.734619140625,0.005,11.786865234375,0.001,12.7484130859375,0.0,10.0443115234375,0.003,12.174072265625,0.002,8.9473876953125,0.012,10.79150390625,0.005,16.001953125,0.0,11.0257568359375,0.001,7.7330322265625,0.012,13.261962890625,0.0,9.6397705078125,0.009,9.79638671875,0.005,11.210308837890626,0.0034000000000000002,2.4672456210075024,1.0496175773357517
ZNF716:P1P2,412,targeting,4.185791015625,0.221,4.6063232421875,0.167,4.817138671875,0.153,3.9649658203125,0.261,4.125,0.226,4.145263671875,0.218,2.8516845703125,0.552,3.3780517578125,0.411,4.2291259765625,0.219,5.291259765625,0.091,4.095458984375,0.248,4.176513671875,0.201,3.0908203125,0.454,3.7945556640625,0.266,6.7913818359375,0.048,3.685546875,0.298,2.7236328125,0.596,5.0806884765625,0.103,3.694091796875,0.343,3.74755859375,0.301,4.12374267578125,0.26885000000000003,0.5704738057033131,0.6152915571995082
TIGD2:P1P2,387,targeting,4.8980712890625,0.171,4.7490234375,0.204,3.0247802734375,0.568,4.20166015625,0.263,4.0150146484375,0.288,3.6590576171875,0.358,2.90625,0.586,4.6923828125,0.184,3.916015625,0.289,4.2528076171875,0.232,5.5640869140625,0.101,3.75048828125,0.321,3.8160400390625,0.316,3.45458984375,0.396,5.46728515625,0.113,2.5445556640625,0.726,4.0238037109375,0.279,2.5234375,0.696,4.9061279296875,0.167,3.3619384765625,0.448,3.986370849609375,0.33530000000000004,0.4745534943491153,0.6005776983903531
